part_id,family,reference_path,prompt_text
box_hole_0002,box_hole,./reference_step files/box_hole_0002.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=80.0, Y=60.0, Z=30.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=16.0, type=through., depth=through.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
box_hole_0003,box_hole,./reference_step files/box_hole_0003.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=120.0, Y=80.0, Z=40.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=20.0, type=through., depth=through.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
box_hole_0004,box_hole,./reference_step files/box_hole_0004.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=90.0, Y=90.0, Z=30.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=14.0, type=blind., depth=18.0.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
box_hole_0005,box_hole,./reference_step files/box_hole_0005.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=110.0, Y=90.0, Z=45.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=18.0, type=blind., depth=25.0.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
box_hole_0006,box_hole,./reference_step files/box_hole_0006.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=140.0, Y=100.0, Z=50.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=22.0, type=blind., depth=30.0.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
box_hole_0007,box_hole,./reference_step files/box_hole_0007.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=100.0, Y=60.0, Z=30.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=12.0, type=through., depth=6.0.
- Counterbore: diameter=20.0.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
box_hole_0008,box_hole,./reference_step files/box_hole_0008.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=120.0, Y=80.0, Z=40.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=16.0, type=through., depth=5.0.
- Countersink: diameter=26.0.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
box_hole_0009,box_hole,./reference_step files/box_hole_0009.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=150.0, Y=100.0, Z=50.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=24.0, type=through., depth=through.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
box_hole_0010,box_hole,./benchmark_v1/references_parametric/box_hole_0010.step,"Create a single connected mechanical CAD part.

Part identity:
Box with centered hole

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face.
- +Z is upward.

Base geometry:
- Block: X=70.0, Y=50.0, Z=25.0, bottom at z=0.

Subtractive features:
- Centered hole along +Z: diameter=10.0, type=through., depth=through.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
stepped_shaft_0002,stepped_shaft,./benchmark_v1/references_parametric/stepped_shaft_0002.step,"Create a single connected mechanical CAD part.

Part identity:
Stepped shaft with keyway

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at shaft center, Z along shaft axis.

Base geometry:
- Overall length L=140.0.
- Steps: d1=22.0 for l1=45.0, d2=28.0 for l2=50.0, d3=20.0 for l3=45.0.

Subtractive features:
- Longitudinal keyway along +Z: width=6.0, depth=3.0.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions exactly."
