pair_id,run_id,label,tier,notes,task_mode,provider,model,prompt_level,part_id,family,reference_path,generated_path,reference_mesh_path,generated_mesh_path,fast_mode,sample_points,voxel_pitch_mm,grading_profile,pass_rate,quality_score_0_100,overall_pass,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score
l_bracket_0006__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,l_bracket_0006,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0006.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0006__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0006__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.29545454545454547,27.28500065086605,False,1.0,0.9015,1.5605185024869017,1.2281618722461987,8.688859632437643,2.905919352473705,4.92086746737516,1.2739068416121004,5.348500398835141,1.4943318516922866,1.4943318516922866,2.8663057136353576,6.191398722229181,1.2070522099187713,0.19121502636045307,6.191398722229181,7.658655317244012,1.3356288919476946,0.0905790836905399,0.050563806973700595,0.0,1.0,0.0,0.0,0.0,0.35658914728682173,2.529888652836135,0.3333333333333333,2.753788236453245,0.884760593224824,11.269046864830278,0.009270692107340616,0.017963506456183366,1.1543478382047156,0.6179245283018868,0.7584780810587263,0.7692953020134228,0.7638483965014577,0.11120147663814219,0.08040895805511135,0.28739827063928625,0.7126017293607138,0.0,0.6666519880188443
l_bracket_0006__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,l_bracket_0006,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0006.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0006__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0006__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.22727272727272727,21.41327239903755,False,1.0,0.8715,1.6995037564166313,1.8986424401416757,1.5823559009168893,5.830254794065776,17.609966094619708,1.3946615416413906,6.193456691367415,6.798245771945742,6.798245771945742,7.877391808132113,11.66362777205822,0.7425985663427355,0.24693625678447972,11.66362777205822,8.502868476042764,5.068644971755586,0.2146621157793408,0.127346630766311,1.0,1.0,0.0,0.0,0.0,0.8501291989664083,4.217720865061811,0.3333333333333333,1.5367042649892952,0.8906403939711577,11.663866645551401,0.0013210832925743135,0.010779754076675625,2.9776114510679954,0.6142958244869073,0.7970615243342516,0.7281879194630873,0.7610697062691801,0.079249182177157,0.04418633391740995,0.23640986269243833,0.7635901373075616,0.0,0.538392780790311
l_bracket_0015__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,l_bracket_0015,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0015.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0015__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0015__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.3409090909090909,31.203403563242077,False,1.0,0.8105,1.9447878934486347,1.4855059008881648,5.717881400209252,3.1939763757026545,5.583873978326593,1.5622324120954234,8.07363109747555,0.32843535383618894,0.32843535383618894,6.443602366717931,4.257288886079948,0.7710041147027482,0.08300490030393348,4.257288886079948,5.475420108976891,1.4286678482206774,0.042708193229441034,0.025834815261800467,0.0,1.0,0.0,0.0,0.0,0.6821705426356589,1.7037659670288765,0.3333333333333333,3.3709351194251096,0.8764621806812765,11.723918830527058,0.002783060872371509,0.016577060931899642,19.34898973759694,0.8653411658382286,0.8999060150375939,0.9575,0.9278100775193798,0.06428414138231166,0.10620686145713858,0.30131188030889045,0.6986881196911096,0.0,0.68284169198541
l_bracket_0015__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,l_bracket_0015,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0015.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0015__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0015__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.18181818181818182,17.0936994904961,False,1.0,0.39975,3.4129366066400126,3.1376903001284866,3.185208439804244,7.778705157993114,15.456973374614156,2.7980764213508147,8.512746771673315,6.52938599973756,6.52938599973756,5.090248666101303,6.5909530732335355,2.1452609989785856,0.3097418998275998,6.5909530732335355,5.729712684262424,5.758080091283403,0.17820158101737177,0.10715980742330755,1.0,1.0,0.0,0.0,0.0,0.8501291989664083,3.015318657346574,0.3333333333333333,3.2028133085656867,0.8269154562928084,20.276330902352317,0.0013210832925743717,0.004123711340206186,9.265372517008029,0.33939193654990085,0.5002435460301997,0.5135,0.5067850974586726,0.09284099254665462,0.03198489537914962,0.23325629754148847,0.7667437024585115,0.0,0.42847351585604576
l_bracket_0024__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,l_bracket_0024,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0024.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0024__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0024__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.25,25.74808305741646,False,1.0,0.86875,1.7899346659389086,1.3385369177332591,4.75294258812236,3.2608637138257937,5.543998982507479,1.4165670156174393,7.081511475622308,0.2471058715229078,0.2471058715229078,4.512047767659443,7.280790498030186,1.3944339721792858,0.22857855727887966,7.280790498030186,9.385473069355669,1.184858759906643,0.06606409927197941,0.037350488528084716,0.0,1.0,0.0,0.0,0.0,0.8501291989664083,2.967934342496117,0.3333333333333333,2.7299812205582348,0.8753115064573975,12.664025472635918,0.0027996097953866014,0.02807074952145691,1.071194595558362,0.5189048239895697,0.6567656765676567,0.7119856887298748,0.6832618025751073,0.06973907232360445,0.0712037350676236,0.29343566903647955,0.7065643309635204,0.0,0.6346484864429833
l_bracket_0024__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,l_bracket_0024,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0024.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0024__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0024__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.25,25.511170161041097,False,1.0,0.96575,1.182774847724723,1.4531082471339851,0.9819638246674522,3.8215052007904826,15.57080901583658,0.9987351483785691,6.618920202748493,8.5660505561906,8.5660505561906,8.732645219200082,13.906195515340428,0.08733629110348318,0.021253990990551586,13.906195515340428,13.327209441458614,5.298307371978077,0.17850321252336449,0.1085622763530496,1.0,1.0,0.0,0.0,0.0,0.8501291989664083,4.671595265811487,0.6666666666666666,0.7155972514492472,0.925963843016458,7.252619265605183,0.0013210832925743157,0.026473000683527,1.3548513385239194,0.5927007299270073,0.7631578947368421,0.7262969588550984,0.7442713107241063,0.0677758605124526,0.0959807322663659,0.277397722911969,0.7226022770880309,0.0,0.6036121462073633
l_bracket_0033__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,l_bracket_0033,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0033.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0033__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0033__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.2727272727272727,28.18560249189511,False,1.0,0.8515,1.967484174584243,1.4649931070923636,7.269919151761752,3.7735959734044626,6.370334820307853,1.5322905480394529,7.7530279421821895,0.659773486128202,0.659773486128202,3.7558448003827882,8.307590820320883,1.3859626354769432,0.2873550624754557,8.307590820320883,10.610907400459624,1.1925513675158144,0.0643037636702459,0.035997941359586526,0.0,1.0,0.0,0.0,0.0,0.6821705426356589,3.326969506091094,0.3333333333333333,5.543609563507955,0.8633948700463026,13.144216519928568,0.0027830608723715105,0.02519629344701494,1.4559417928039629,0.8165079365079365,0.8778156996587031,0.9212034383954155,0.8989863684026564,0.09186182960089799,0.0725883817525932,0.29729995363191275,0.7027000463680872,0.0,0.6548773687348606
l_bracket_0033__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,l_bracket_0033,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0033.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0033__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0033__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.36363636363636365,30.87690494610499,False,1.0,0.962,1.1986212169708599,1.4636123570965243,0.9181144981241973,3.355533388444387,16.019966570645753,1.035846443823659,6.869534140799517,7.653892779287302,7.653892779287302,8.788790845180323,15.965098343552967,0.024384936259622236,0.040747706323145394,15.965098343552967,15.922552542213978,5.1468660843195675,0.15850642948023846,0.09585220901738109,1.0,1.0,0.0,0.0,0.0,0.8423772609819121,5.3434103287119115,0.6666666666666666,0.5157276104150353,0.9344889029845019,6.303941399124616,0.000574417043222151,0.015235955056179775,1.5381104831270096,0.8951841359773371,0.9875,0.9054441260744985,0.9446935724962631,0.07518709317001697,0.13388356209140861,0.29068855461382365,0.7093114453861764,0.0,0.6601766027761143
l_bracket_0042__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,l_bracket_0042,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0042.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0042__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0042__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.2727272727272727,28.219386430898645,False,1.0,0.89,1.5388583930571036,1.2312811756646966,4.4305771396046625,2.8002619398330326,4.880173391119439,1.2798979178460603,5.35324135994617,0.1254162613711467,0.1254162613711467,3.8813703228283676,6.145587006366,1.3698263076778545,0.09008505361713048,6.145587006366,7.513799229929489,0.978664877192082,0.08468377610340247,0.04682834525153587,0.0,1.0,0.0,0.0,0.0,0.8501291989664083,2.5351661225536617,0.3333333333333333,2.9987482673325263,0.8758459799312023,12.710780045639309,0.002799609795386667,0.01439395311928168,1.6420133907576804,0.695369030390738,0.7806661251015434,0.8642086330935251,0.8203158344003413,0.08284315706403814,0.07052435798570493,0.27424024447318324,0.7257597555268167,0.0,0.6868886689825406
l_bracket_0042__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,l_bracket_0042,l_bracket,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/l_bracket_0042.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0042__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/l_bracket_0042__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.2727272727272727,28.15831286685749,False,1.0,0.953,1.1350693894990462,1.4709724130632127,1.2343213116914526,4.5320509550909645,14.289043012706843,1.0199538030049748,3.46336010086994,6.778211439407671,6.778211439407671,9.518140955321723,11.873800932248486,0.29636261236180417,0.09783193957753156,11.873800932248486,10.973519101368979,3.451268589150295,0.19112434527653557,0.11138369558367275,1.0,1.0,0.0,0.0,0.0,0.6821705426356589,4.089331828062607,0.6666666666666666,0.668980698580655,0.9296076460792713,7.255914344203261,0.001396118908419534,0.012807107737027645,1.211991768097446,0.7151898734177216,0.8560606060606061,0.8129496402877698,0.8339483394833948,0.08784672889723545,0.0570658716386373,0.24696864104423463,0.7530313589557653,0.0,0.6043528476852437
