metric,direction,status,reason,rows_used,positives,negatives,nan_rate,old_threshold,new_threshold,objective_value,precision,recall,f1,specificity,accuracy,balanced,cost,tp,tn,fp,fn
valid_cad_rate,higher_better,ok,,22,10,12,0.000000,1,1,-60,0.454545455,1,0.625,0,0.454545455,0.5,60,10,0,12,0
alignment_quality_icp_fitness,higher_better,ok,,22,10,12,0.000000,0.3,0.9193,-8,1,0.2,0.333333333,1,0.636363636,0.6,8,2,12,0,8
alignment_inlier_rmse_mm,lower_better,ok,,22,10,12,0.000000,1,1.1068837,-10,0,0,0,1,0.545454545,0.5,10,0,12,0,10
chamfer_distance_mm,lower_better,ok,,22,10,12,0.000000,1,1.00499472,-10,0,0,0,1,0.545454545,0.5,10,0,12,0,10
edge_chamfer_mm,lower_better,ok,,22,10,12,0.000000,0.8,0.254865182,-6,0.9,0.9,0.9,0.916666667,0.909090909,0.908333333,6,9,11,1,1
hausdorff_95p_mm,lower_better,ok,,22,10,12,0.000000,1.5,1.84384153,-9,1,0.1,0.181818182,1,0.590909091,0.55,9,1,12,0,9
hausdorff_99p_mm,lower_better,ok,,22,10,12,0.000000,2.5,2.23897797,-10,0,0,0,1,0.545454545,0.5,10,0,12,0,10
point_to_surface_mean_mm,lower_better,ok,,22,10,12,0.000000,0.8,1.00505691,-10,0,0,0,1,0.545454545,0.5,10,0,12,0,10
point_to_surface_max_mm,lower_better,ok,,22,10,12,0.000000,4,3.26471545,-9,1,0.1,0.181818182,1,0.590909091,0.55,9,1,12,0,9
volume_diff_percent,lower_better,ok,,22,10,12,0.000000,2,0,-10,0,0,0,1,0.545454545,0.5,10,0,12,0,10
signed_volume_diff_percent,lower_better,ok,,22,10,12,0.000000,2,0,-10,0,0,0,1,0.545454545,0.5,10,0,12,0,10
surface_area_diff_percent,lower_better,ok,,22,10,12,0.000000,3,3.7e-08,-6,0.9,0.9,0.9,0.916666667,0.909090909,0.908333333,6,9,11,1,1
bbox_error_max_mm,lower_better,ok,,22,10,12,0.000000,1,0.087693936,-19,0.333333333,0.1,0.153846154,0.833333333,0.5,0.466666667,19,1,10,2,9
bbox_error_axis_x_mm,lower_better,ok,,22,10,12,0.000000,1,0.045915701,-19,0.333333333,0.1,0.153846154,0.833333333,0.5,0.466666667,19,1,10,2,9
bbox_error_axis_y_mm,lower_better,ok,,22,10,12,0.000000,1,0.035335101,-10,0,0,0,1,0.545454545,0.5,10,0,12,0,10
bbox_error_axis_z_mm,lower_better,ok,,22,10,12,0.000000,1,0.078371204,-19,0.333333333,0.1,0.153846154,0.833333333,0.5,0.466666667,19,1,10,2,9
obb_error_max_mm,lower_better,ok,,22,10,12,0.000000,1.5,0.087693936,-19,0.333333333,0.1,0.153846154,0.833333333,0.5,0.466666667,19,1,10,2,9
centroid_offset_mm,lower_better,ok,,22,10,12,0.000000,1,0.047976118,-7,1,0.3,0.461538462,1,0.681818182,0.65,7,3,12,0,7
inertia_tensor_error,lower_better,ok,,22,10,12,0.000000,0.1,0.003447754,-5,0.909090909,1,0.952380952,0.916666667,0.954545455,0.958333333,5,10,11,1,0
mass_properties_error,lower_better,ok,,22,10,12,0.000000,0.1,0.0020748,-5,0.909090909,1,0.952380952,0.916666667,0.954545455,0.958333333,5,10,11,1,0
component_count_match,higher_better,ok,,22,10,12,0.000000,1,1,-60,0.454545455,1,0.625,0,0.454545455,0.5,60,10,0,12,0
watertight_manifold_pass,higher_better,ok,,22,10,12,0.000000,1,1,-60,0.454545455,1,0.625,0,0.454545455,0.5,60,10,0,12,0
self_intersection_count,lower_better,ok,,22,10,12,0.000000,0,0,-60,0.454545455,1,0.625,0,0.454545455,0.5,60,10,0,12,0
euler_genus_match,higher_better,ok,,22,10,12,0.000000,1,0.1,-45,0.526315789,1,0.689655172,0.25,0.590909091,0.625,45,10,3,9,0
void_hole_count_match,higher_better,ok,,22,10,12,0.000000,1,0.1,-45,0.526315789,1,0.689655172,0.25,0.590909091,0.625,45,10,3,9,0
feature_count_match,higher_better,ok,,22,10,12,0.000000,0.9,0.557075472,-45,0.526315789,1,0.689655172,0.25,0.590909091,0.625,45,10,3,9,0
critical_dimension_error_mm,lower_better,ok,,22,10,12,0.000000,0.5,0.070685647,-19,0.333333333,0.1,0.153846154,0.833333333,0.5,0.466666667,19,1,10,2,9
