pair_id,run_id,label,tier,notes,task_mode,provider,model,prompt_level,part_id,family,reference_path,generated_path,reference_mesh_path,generated_mesh_path,fast_mode,sample_points,voxel_pitch_mm,grading_profile,pass_rate,quality_score_0_100,overall_pass,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score
pillow_block_0007__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,pillow_block_0007,pillow_block,./benchmark_v1/references_parametric/pillow_block_0007.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0007__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0007__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.4772727272727273,45.52042670274803,False,1.0,0.836,1.5764356319940884,1.5476696075188112,10.608784951719176,2.7734634139000645,8.153041386767345,1.4310551524120547,7.5796783609226015,0.6899449142456875,0.6899449142456875,3.6281790717469433,0.23411357982763548,0.11723146356717962,0.23411357982763548,0.12969128459107893,0.23411357982762127,0.43895952443868597,0.008958838560909822,0.005754860976668823,1.0,1.0,0.0,0.0,0.0,0.4056603773584906,0.16034544266196468,1.0,2.0344481395916514,0.9563307475785713,4.3101816230973276,0.001032241533816416,0.018090134218271017,7.854995857420953,0.6789473684210526,0.8399080811949444,0.7798719772403983,0.8087774294670845,0.10555720747451015,0.11127323312158861,0.18573471398667332,0.8142652860133267,0.0,0.7260023412977303
pillow_block_0007__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pillow_block_0007,pillow_block,./benchmark_v1/references_parametric/pillow_block_0007.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0007__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0007__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.6136363636363636,60.70252121791977,False,1.0,0.8415,1.4962424468738564,1.3602556065235147,0.08088612108413913,2.5120897065028296,3.0418259793624047,1.365097119409075,4.060970705113704,1.342018842662616e-12,1.342018842662616e-12,7.78099704192255e-13,0.24566052330384025,0.1304123316651271,0.24566052330384025,0.09489327829947669,0.24566052330385446,0.07606698425782954,0.000822927645994581,0.0006324842087646226,1.0,1.0,0.0,1.0,1.0,1.0,0.15698871108948134,1.0,0.08088696830878919,0.9667424095433994,3.814561642728417,0.0,0.010864952041422632,7.702650304433344,0.7695238095238095,0.8776249094858798,0.8620199146514936,0.8697524219590959,0.09304772092436171,0.11398324822291007,0.19278301930925604,0.807216980690744,0.0,0.8359224186603365
pillow_block_0016__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,pillow_block_0016,pillow_block,./benchmark_v1/references_parametric/pillow_block_0016.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0016__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0016__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.36363636363636365,32.922898984006785,False,1.0,0.82975,1.6326882101106885,1.6830385659836555,8.292181070940591,4.074044425061319,10.646600403616867,1.4230509990637943,6.195222765796551,3.6171825045152013,3.6171825045152013,8.367710834674105,0.9106826702674482,0.3531073004356813,0.9106826702674482,0.3405554195409195,0.9106826702674624,0.9453060260531033,0.05963112441602906,0.032809676758096866,1.0,1.0,0.0,0.0,0.0,0.5078616352201258,0.5347817967480163,0.6666666666666666,2.2892322370523144,0.9302351609751466,7.4955801237768975,0.0016343482285517963,0.014657210401891253,5.325490462926006,0.4991875203119922,0.6940804338002712,0.64,0.6659440711034035,0.08592314756198677,0.061951136904743485,0.11028776462689287,0.8897122353731072,0.0,0.616573344723911
pillow_block_0016__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pillow_block_0016,pillow_block,./benchmark_v1/references_parametric/pillow_block_0016.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0016__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0016__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.6136363636363636,59.0456565671232,False,1.0,0.87275,1.407317031743622,1.277175292705698,0.08212342973256442,2.3501418866843182,2.880185043352351,1.2761654190741591,4.301466534872744,2.191085130428233e-13,2.191085130428233e-13,1.5985901462537732e-13,0.2775044624483698,0.05750312261761792,0.035335101012947234,0.2775044624483698,0.2775044624483627,0.03199939641044923,0.0013410639885646331,0.0007718852658640173,1.0,1.0,0.0,1.0,1.0,1.0,0.12344756202631164,1.0,0.08212342973256442,0.9623316224342673,4.570165838030588,0.0,0.017110903946214596,4.8920103613645205,0.6388606307222787,0.7743526510480888,0.785,0.7796399751707015,0.11435354179643864,0.09999141114483899,0.1382782247514033,0.8617217752485967,0.0,0.8285335164336174
pillow_block_0025__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,pillow_block_0025,pillow_block,./benchmark_v1/references_parametric/pillow_block_0025.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0025__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0025__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5454545454545454,53.38778773788183,False,1.0,0.62825,2.005232749617451,1.8014937218162157,1.7399021205968142,3.4977041306973455,4.182512612421761,1.8026001235042968,5.143579791578896,2.5698823574760264e-07,2.5698823574760264e-07,3.7034211460510796e-07,0.09646039831175557,0.07245037699965451,0.04719521397707638,0.09646039831175557,0.0964603983117911,0.12066028180193289,0.003447753712842842,0.002074799595613963,1.0,1.0,0.0,1.0,1.0,1.0,0.07203532976282882,1.0,1.7399053359276355,0.9427420544946508,7.353683991381222,0.0,0.017041528519243763,6.321356307730504,0.6853602184415039,0.8223286290322581,0.8044871794871795,0.8133100697906281,0.10399124866387607,0.10249325161660483,0.11945317175245185,0.8805468282475482,0.0,0.7263110975604117
pillow_block_0025__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pillow_block_0025,pillow_block,./benchmark_v1/references_parametric/pillow_block_0025.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0025__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0025__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.6136363636363636,59.41397216064587,False,1.0,0.717,1.7727458746500158,1.6324910943922992,0.11802416899034472,2.939282218185336,3.6113109584118845,1.6329271854379184,5.093149003407005,3.724281613227868e-13,3.724281613227868e-13,2.439045866597637e-13,0.2938274497553408,0.1325319374633409,0.06399445475294385,0.2938274497553408,0.2938274497553408,0.07468093458972627,0.0011136003152624244,0.0007739987066508945,1.0,1.0,0.0,1.0,1.0,1.0,0.16345128065720851,1.0,0.11802416899034471,0.961127395788396,4.947643931994641,0.0,0.02219943511380271,5.477932238800648,0.7786157941437445,0.8859162039374053,0.8653846153846154,0.8755300573709155,0.09111682436728519,0.11278344992356126,0.13572040752895423,0.8642795924710458,0.0,0.805419327659121
pillow_block_0034__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,pillow_block_0034,pillow_block,./benchmark_v1/references_parametric/pillow_block_0034.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0034__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0034__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5681818181818182,54.76018128903695,False,1.0,0.816,1.5262412043031992,1.3757033276649087,1.3787916103889093,2.7142300379115216,3.1080913627110522,1.3710888993433665,3.867373733746694,8.39346130334188e-08,8.39346130334188e-08,8.907738152643814e-08,0.26871313646985584,0.11280060560558525,0.26871313646985584,0.2176301141835495,0.26871313646986295,0.09015081764366338,0.006041903642821924,0.003388599045166362,1.0,1.0,0.0,1.0,1.0,1.0,0.19971461875299687,1.0,1.3788266051693356,0.9375028921426877,8.509388825988719,0.0,0.011543106451844096,3.5169495466362357,0.6721689059500959,0.8032110091743119,0.8046875,0.8039485766758494,0.08185751253315472,0.09769856539386272,0.10779612237282536,0.8922038776271747,0.0,0.7779792274306842
pillow_block_0034__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pillow_block_0034,pillow_block,./benchmark_v1/references_parametric/pillow_block_0034.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0034__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0034__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.6818181818181818,62.631521390139376,False,1.0,0.914,1.3314434429433584,1.2079233551530861,0.06911207230745375,2.2024505727047967,2.7298074339018883,1.2072976008115315,3.6749285070267246,6.36412083431787e-13,6.36412083431787e-13,4.0444729221053005e-13,0.11653068653485832,0.07967822577379025,0.11269596392833137,0.11653068653485832,0.11653068653485832,0.056049795209710984,0.0006527085647032914,0.0005549329257795944,1.0,1.0,0.0,1.0,1.0,1.0,0.10296829207899331,1.0,0.06911207230745375,0.9604380369090445,5.325846647859723,0.0,0.02042531394105607,3.3722947693691587,0.794093851132686,0.8689685701637893,0.9021139705882353,0.8852311161217588,0.09180166501486384,0.12270498921519991,0.1337510455668963,0.8662489544331037,0.0,0.8666871319789902
pillow_block_0043__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,pillow_block_0043,pillow_block,./benchmark_v1/references_parametric/pillow_block_0043.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0043__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0043__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.6363636363636364,56.78911219137242,False,1.0,0.74775,1.7042516045570275,1.5624593226870855,1.2735868654615574,2.843752903110654,3.408019496805092,1.56418918902991,4.875288002795174,5.014905368171894e-07,5.014905368171894e-07,7.780313065129403e-07,0.0532302592377647,0.04159599133294023,0.0532302592377647,0.026461833581350902,0.0532302592377647,0.09292152055237875,0.004986257658786954,0.002835716582064547,1.0,1.0,0.0,1.0,1.0,1.0,0.04042936138401861,1.0,1.2735945054909064,0.9445948951346979,7.49318276757949,0.0,0.01235093159435037,3.663949628998329,0.8929440389294404,0.924433249370277,0.963254593175853,0.9434447300771208,0.10372383795202036,0.10491522630158094,0.11040714354474412,0.8895928564552559,0.0,0.7928876493003278
pillow_block_0043__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pillow_block_0043,pillow_block,./benchmark_v1/references_parametric/pillow_block_0043.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0043__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pillow_block_0043__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.7045454545454546,63.98219837170965,False,1.0,0.834,1.5373805275211638,1.4050113556267463,0.08148198197653475,2.595593040854428,3.1612348365926444,1.3986849082980721,4.067193090356424,1.4982998473271832e-12,1.4982998473271832e-12,9.934960362507708e-13,0.24783375980735656,0.11518836168752955,0.12646909810877105,0.24783375980735656,0.24783375980734945,0.02130352124094995,0.000514927913635218,0.0003360068543351273,1.0,1.0,0.0,1.0,1.0,1.0,0.1631637398678857,1.0,0.08148198197653475,0.9634778827638867,5.115151523976443,0.0,0.026479885803446995,3.5184279509379928,1.0,1.0,1.0,1.0,0.11207220738942303,0.1261992054664355,0.1300369789106146,0.8699630210893854,0.0,0.843014831794247
