metric,direction,status,reason,rows_used,positives,negatives,nan_rate,old_threshold,new_threshold,objective_value,precision,recall,f1,specificity,accuracy,balanced,cost,tp,tn,fp,fn
valid_cad_rate,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
alignment_quality_icp_fitness,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.3,,,,,,,,,,,,,
alignment_inlier_rmse_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
chamfer_distance_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
edge_chamfer_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.8,,,,,,,,,,,,,
hausdorff_95p_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1.5,,,,,,,,,,,,,
hausdorff_99p_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,2.5,,,,,,,,,,,,,
point_to_surface_mean_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.8,,,,,,,,,,,,,
point_to_surface_max_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,4,,,,,,,,,,,,,
volume_diff_percent,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,2,,,,,,,,,,,,,
signed_volume_diff_percent,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,2,,,,,,,,,,,,,
surface_area_diff_percent,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,3,,,,,,,,,,,,,
bbox_error_max_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
bbox_error_axis_x_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
bbox_error_axis_y_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
bbox_error_axis_z_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
obb_error_max_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1.5,,,,,,,,,,,,,
centroid_offset_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
inertia_tensor_error,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.1,,,,,,,,,,,,,
mass_properties_error,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.1,,,,,,,,,,,,,
component_count_match,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
watertight_manifold_pass,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
self_intersection_count,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0,,,,,,,,,,,,,
euler_genus_match,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
void_hole_count_match,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,1,,,,,,,,,,,,,
feature_count_match,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.9,,,,,,,,,,,,,
critical_dimension_error_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.5,,,,,,,,,,,,,
tolerance_band_pass_rate,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.9,,,,,,,,,,,,,
feature_edge_distance_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.8,,,,,,,,,,,,,
normal_consistency,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.95,,,,,,,,,,,,,
normal_angle_error_deg,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,12,,,,,,,,,,,,,
curvature_distribution_error,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.15,,,,,,,,,,,,,
cross_section_iou,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.9,,,,,,,,,,,,,
slice_contour_distance_mm,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.8,,,,,,,,,,,,,
voxel_iou,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.88,,,,,,,,,,,,,
occupancy_precision,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.9,,,,,,,,,,,,,
occupancy_recall,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.9,,,,,,,,,,,,,
occupancy_f1,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.9,,,,,,,,,,,,,
emd_distance,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.02,,,,,,,,,,,,,
silhouette_iou,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.92,,,,,,,,,,,,,
render_ssim,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.9,,,,,,,,,,,,,
render_lpips,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.15,,,,,,,,,,,,,
registration_failure_rate,lower_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.05,,,,,,,,,,,,,
composite_weighted_score,higher_better,skipped,"insufficient_support(pos=22,neg=0)",0,22,0,0.000000,0.85,,,,,,,,,,,,,
