pair_id,run_id,label,tier,notes,task_mode,provider,model,prompt_level,part_id,family,reference_path,generated_path,reference_mesh_path,generated_mesh_path,fast_mode,sample_points,voxel_pitch_mm,grading_profile,pass_rate,quality_score_0_100,overall_pass,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score
pulley_0008__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,pulley_0008,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0008.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0008__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0008__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.8849500394102,False,1.0,1.0,0.0,0.0,9.615324409700017e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.264127262077597e-18,4.917699940173658e-18,2.4895992441170615e-18,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.615324409700017e-17,1.0,1.9856607745079786e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07655311154176542,1.0,1.0,0.0,0.0,1.0
pulley_0008__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pulley_0008,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0008.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0008__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0008__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.8849500394102,False,1.0,1.0,0.0,0.0,9.615324409700017e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.264127262077597e-18,4.917699940173658e-18,2.4895992441170615e-18,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.615324409700017e-17,1.0,1.9856607745079786e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07655311154176542,1.0,1.0,0.0,0.0,1.0
pulley_0017__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,pulley_0017,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0017.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0017__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0017__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003939848,False,1.0,1.0,0.0,0.0,1.5232524236672535e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552788144725259e-15,1.4301756787739258e-16,8.785573763145767e-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.5232524236672535e-16,1.0,3.287488909607742e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07593459968700762,1.0,1.0,0.0,0.0,1.0
pulley_0017__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pulley_0017,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0017.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0017__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0017__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003939848,False,1.0,1.0,0.0,0.0,1.5232524236672535e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552788144725259e-15,1.4301756787739258e-16,8.785573763145767e-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.5232524236672535e-16,1.0,3.287488909607742e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07593459968700762,1.0,1.0,0.0,0.0,1.0
pulley_0026__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,pulley_0026,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0026.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0026__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0026__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940822,False,1.0,1.0,0.0,0.0,9.719958524124014e-17,0.0,0.0,0.0,0.0,1.414165882745889e-14,1.414165882745889e-14,1.6500058555372587e-14,0.0,0.0,0.0,0.0,0.0,5.3294602061911685e-15,4.2257167118502096e-16,2.406738854980605e-16,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.719958524124014e-17,1.0,2.3601998412568252e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07478690922850176,1.0,1.0,0.0,0.0,1.0
pulley_0026__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pulley_0026,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0026.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0026__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0026__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940822,False,1.0,1.0,0.0,0.0,9.719958524124014e-17,0.0,0.0,0.0,0.0,1.414165882745889e-14,1.414165882745889e-14,1.6500058555372587e-14,0.0,0.0,0.0,0.0,0.0,5.3294602061911685e-15,4.2257167118502096e-16,2.406738854980605e-16,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.719958524124014e-17,1.0,2.3601998412568252e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07478690922850176,1.0,1.0,0.0,0.0,1.0
pulley_0035__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,pulley_0035,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0035.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0035__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0035__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940793,False,1.0,1.0,0.0,0.0,6.735132733713127e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.700886808091028e-17,1.5212604173977553e-17,7.690735955550661e-18,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.735132733713127e-17,1.0,2.2547410035723103e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07617501430292661,1.0,1.0,0.0,0.0,1.0
pulley_0035__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pulley_0035,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0035.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0035__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0035__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940793,False,1.0,1.0,0.0,0.0,6.735132733713127e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.700886808091028e-17,1.5212604173977553e-17,7.690735955550661e-18,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.735132733713127e-17,1.0,2.2547410035723103e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07617501430292661,1.0,1.0,0.0,0.0,1.0
pulley_0044__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,pulley_0044,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0044.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0044__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0044__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940056,False,1.0,1.0,0.0,0.0,1.25010231443408e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.6142305735765372e-14,0.0,0.0,0.0,0.0,0.0,1.776402981763038e-15,1.5415405218504158e-17,1.3852434550762156e-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.25010231443408e-16,1.0,3.141949661602865e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07512006452453703,1.0,1.0,0.0,0.0,1.0
pulley_0044__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,pulley_0044,pulley,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/pulley_0044.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0044__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/pulley_0044__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.8849500394012,False,1.0,1.0,0.0,0.0,1.25010231443408e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.6142305735765372e-14,0.0,0.0,0.0,0.0,0.0,1.776402981763038e-15,1.5415405218504158e-17,1.3852434550762156e-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.25010231443408e-16,1.0,3.141949661602865e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07461366462183701,1.0,1.0,0.0,0.0,1.0
