pair_id,run_id,label,tier,notes,task_mode,provider,model,prompt_level,part_id,family,reference_path,generated_path,reference_mesh_path,generated_mesh_path,fast_mode,sample_points,voxel_pitch_mm,grading_profile,pass_rate,quality_score_0_100,overall_pass,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score
ring_spacer_0004__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,ring_spacer_0004,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0004.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0004__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0004__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003942879,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.7609431018558293e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07096449618296219,1.0,1.0,0.0,0.0,1.0
ring_spacer_0004__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,ring_spacer_0004,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0004.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0004__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0004__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003942879,False,1.0,1.0,0.0,0.0,7.48959976929669e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98509751021056e-17,1.0911167437451863e-16,5.507724759472006e-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7.48959976929669e-18,1.0,1.7609431018558293e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07096449618296219,1.0,1.0,0.0,0.0,1.0
ring_spacer_0013__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,ring_spacer_0013,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0013.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0013__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0013__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940432,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.500824676111086e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.09300841847209242,1.0,1.0,0.0,0.0,1.0
ring_spacer_0013__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,ring_spacer_0013,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0013.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0013__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0013__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940432,False,1.0,1.0,0.0,0.0,2.64338815386942e-18,0.0,0.0,0.0,0.0,1.1821272394229923e-14,1.1821272394229923e-14,0.0,0.0,0.0,0.0,0.0,0.0,2.6692980777652866e-15,1.0835269441327182e-16,7.708221930629224e-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.64338815386942e-18,1.0,2.500824676111086e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.09300841847209242,1.0,1.0,0.0,0.0,1.0
ring_spacer_0022__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,ring_spacer_0022,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0022.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0022__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0022__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495004128762,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.788602703638751e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.06161253022790649,1.0,1.0,0.0,0.0,1.0
ring_spacer_0022__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,ring_spacer_0022,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0022.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0022__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0022__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495004128762,False,1.0,1.0,0.0,0.0,6.1679056923619804e-18,0.0,0.0,0.0,0.0,1.4366129509871858e-14,1.4366129509871858e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.918341861701818e-15,6.725438481224269e-17,4.0314959453093344e-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.1679056923619804e-18,1.0,2.788602703638751e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.06161253022790649,1.0,1.0,0.0,0.0,1.0
ring_spacer_0031__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,ring_spacer_0031,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0031.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0031__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0031__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003960426,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.567520193323102e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.06609470513377777,1.0,1.0,0.0,0.0,1.0
ring_spacer_0031__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,ring_spacer_0031,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0031.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0031__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0031__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003960426,False,1.0,1.0,0.0,0.0,8.8112938462314e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.760862374274432e-16,5.426851867238698e-18,5.485158002439011e-18,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,8.8112938462314e-19,1.0,2.567520193323102e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.06609470513377777,1.0,1.0,0.0,0.0,1.0
ring_spacer_0040__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,ring_spacer_0040,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0040.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0040__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0040__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940554,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.7120515623295885e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07437369067565773,1.0,1.0,0.0,0.0,1.0
ring_spacer_0040__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,ring_spacer_0040,ring_spacer,./benchmark_v1/references_parametric/ring_spacer_0040.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0040__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/ring_spacer_0040__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.9772727272727273,90.88495003940554,False,1.0,1.0,0.0,0.0,2.2909364000201642e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7840962682197616e-15,6.27287112526072e-17,3.749074569499041e-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.2909364000201642e-17,1.0,2.7120515623295885e-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.07437369067565773,1.0,1.0,0.0,0.0,1.0
