pair_id,run_id,label,tier,notes,task_mode,provider,model,prompt_level,part_id,family,reference_path,generated_path,reference_mesh_path,generated_mesh_path,fast_mode,sample_points,voxel_pitch_mm,grading_profile,pass_rate,quality_score_0_100,overall_pass,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score
slotted_plate_0005__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,slotted_plate_0005,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0005.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0005__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0005__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.38636363636363635,34.56887268585548,False,1.0,0.823,3.6867151383933137,1.4683433255145184,1.630656584021918,6.449018878455095,12.851122080363655,2.015803291339724,15.092296887346693,15.504519123209734,15.504519123209734,21.011170009702287,0.23297074025073528,0.165733275650922,0.23297074025073528,0.07803515564931196,0.23297074025073528,0.3870266328397899,0.03779873202689322,0.02043325486396093,1.0,1.0,0.0,0.0,0.0,1.0,0.15891305718365642,1.0,1.5954412912902587,0.7714050566489907,20.65691448443553,0.20922332541841607,,,0.4109386548410939,0.5959271168274384,0.569672131147541,0.5825039287585123,0.08241861271365782,0.06748502525121357,0.34560970736591184,0.6543902926340881,0.0,0.5721747024684513
slotted_plate_0005__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,slotted_plate_0005,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0005.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0005__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0005__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.3409090909090909,29.97046323299344,False,1.0,0.7135,3.9561452084453697,1.7822867210095878,7.841790305522416,6.874368606441353,12.790406170424149,2.3476005623389855,15.01306731724135,15.50451918786721,15.50451918786721,21.01116999951583,0.8287418223226979,0.11804455068235598,0.22308940649858755,0.8287418223226979,0.8287418223227032,4.592895789003872,0.02927010867903362,0.03283791441308567,1.0,1.0,0.0,0.0,0.0,1.0,0.38995859316788045,0.6666666666666666,7.76263229056999,0.7227186209857656,25.55823047518911,0.2092233254184161,0.024390243902439025,10.26414028370979,0.4186046511627907,0.5728061716489875,0.6086065573770492,0.5901639344262294,0.06537172204886264,0.02971800232456558,0.2874115139411837,0.7125884860588163,0.0,0.5146940692311741
slotted_plate_0014__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,slotted_plate_0014,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0014.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0014__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0014__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.4090909090909091,38.84504643913137,False,1.0,0.85225,2.086803188894582,1.4031157468000282,5.9038619676211095,2.9338132814122364,7.144958072538237,1.50416541930547,10.134282939982384,7.20653762316604,7.20653762316604,3.957707883563456,0.17825623017608905,0.04697459569399598,0.17825623017608905,0.09896203020552008,0.17825623017606773,0.3627429966234611,0.007611124774402407,0.00472800236332858,1.0,1.0,0.0,0.0,0.0,0.08955223880597014,0.10806428535853503,1.0,2.807236113293026,0.878315479265409,11.337384702240415,0.6290750472988138,0.018516487378876026,8.36425991374814,0.8181818181818182,0.900887573964497,0.8991141732283464,0.8999999999999999,0.06483582590121721,0.11703503319039676,0.23962753823946248,0.7603724617605375,0.0,0.6801803632513236
slotted_plate_0014__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,slotted_plate_0014,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0014.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0014__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0014__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.2727272727272727,24.970816500900252,False,1.0,0.778,2.7005860346387887,1.8337531532900435,8.17437491986402,5.797212750209978,8.875910623355578,1.931725406804668,10.203868267331126,7.695121360403712,7.695121360403712,3.3966728624141163,1.4070672821678905,0.05917233591588911,0.6040011051186696,1.4070672821678905,1.4070672821679189,1.8232924704375406,0.008198751552117448,0.008735930798648104,1.0,1.0,0.0,0.0,0.0,1.0,0.690080241067483,0.3333333333333333,8.050796663035719,0.8396632241110096,15.766164399351904,0.2092233254184161,0.009479628882613958,7.964520134678549,0.6478013029315961,0.7895781637717122,0.7829724409448819,0.7862614282184335,0.07172138885322653,0.035162633296279174,0.20124072264894935,0.7987592773510507,0.0,0.555935364344924
slotted_plate_0023__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,slotted_plate_0023,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0023.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0023__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0023__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,42.76229193801288,False,1.0,0.892,1.6578486428116916,1.2698246402331226,5.227873219502273,2.575307124589525,5.166484542761913,1.3105322406765232,7.412791122485152,6.900377718562849,6.900377718562849,1.8578119314812187,0.17409743912020303,0.04894330630725108,0.17409743912020303,0.0665424374847241,0.17409743912021014,0.31462611083645325,0.010713890376356889,0.006223187594640953,1.0,1.0,0.0,0.0,0.0,0.08955223880597014,0.09652772763739274,1.0,2.6856511183188814,0.8862355224678402,10.53583429180152,0.6290750472988137,0.02552365553539,7.476729638981211,0.8800880088008801,0.9334889148191365,0.9389671361502347,0.9362200117027502,0.06502383231826077,0.12368572701895918,0.23884305040131537,0.7611569495986846,0.0,0.7114681348662147
slotted_plate_0023__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,slotted_plate_0023,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0023.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0023__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0023__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.29545454545454547,32.264690012018846,False,1.0,0.8145,2.1454837258198385,1.6691920457416631,6.89615140137942,5.211613927275077,6.265889128612216,1.7055106945971161,7.183590947873788,7.188826209646672,7.188826209646672,1.4112829934340037,1.0951935623295093,0.020567283346224485,0.4695083177682591,1.0951935623295093,1.0951935623295235,1.5483074526786866,0.011463435286422873,0.009994585623833045,1.0,1.0,0.0,0.0,0.0,1.0,0.528423054481331,0.6666666666666666,6.798175370060168,0.8510422103405577,14.643690623754544,0.20922332541841604,0.009289930395067056,7.829746758448045,0.8063492063492064,0.8912280701754386,0.8943661971830986,0.8927943760984184,0.07001067054141952,0.04320350714678008,0.20442968565796313,0.7955703143420368,0.0,0.6134456238132725
slotted_plate_0032__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,slotted_plate_0032,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0032.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0032__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0032__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.38636363636363635,36.2063406210901,False,1.0,0.86975,1.9226297156341303,1.2948579589586016,3.4614310620717474,2.5796090617618037,6.411053376553427,1.409014028387244,8.160138124957433,8.423344429694806,8.423344429694806,5.400016050410818,0.13835092133770388,0.04539906934468263,0.13835092133770388,0.0960193643278604,0.13835092133767546,0.31841370518037193,0.017395749196680292,0.009534231473346389,1.0,1.0,0.0,0.0,0.0,1.0,0.0932564516700823,1.0,3.4379020900587998,0.8602124010902974,12.674005434846087,0.2092233254184161,0.011602098466505248,8.39488790461838,0.4829024186822352,0.6594533029612756,0.6433333333333333,0.6512935883014623,0.058849416974666995,0.10125795489710891,0.27399646843188125,0.7260035315681188,0.0,0.6480420633918001
slotted_plate_0032__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,slotted_plate_0032,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0032.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0032__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0032__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.3181818181818182,28.982075877881698,False,1.0,0.791,2.337457906503019,1.6554744483189867,6.016617604548881,4.772419567486785,6.865600155769789,1.7559658454100375,8.152332307498842,8.423344417654615,8.423344417654615,5.400016057161689,0.7610402971542296,0.13981425859907404,0.6529456544544701,0.7610402971542296,0.7610402971542349,1.8941476631104048,0.016664961264158742,0.013307716919166964,1.0,1.0,0.0,0.0,0.0,1.0,0.5179334034025912,0.3333333333333333,5.915599031204345,0.8212183132978151,16.892570427129435,0.2092233254184161,0.004098360655737705,8.972201773558035,0.4401294498381877,0.6181818181818182,0.6044444444444445,0.6112359550561798,0.050735727259728775,0.033115435624942964,0.23811257032122776,0.7618874296787722,0.0,0.5606913927349109
slotted_plate_0041__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,slotted_plate_0041,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0041.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0041__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0041__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.38636363636363635,36.37172811424903,False,1.0,0.858,1.8973543890692224,1.3464431958425953,3.420387236489101,2.720557220111803,6.44068402138456,1.454730046009683,8.141580006137785,7.793217624405588,7.793217624405588,5.258603032194699,0.10589965173730143,0.01622982219896585,0.023892415971360492,0.10589965173730143,0.1058996517372961,0.24026725774569418,0.020566040479597085,0.010939851104046092,1.0,1.0,0.0,0.0,0.0,1.0,0.04867396330254259,1.0,3.39453493586634,0.8654350158294706,12.1918105404478,0.20922332541841604,0.015499194847020933,10.733928688352734,0.4773095623987034,0.6522702104097453,0.6402173913043478,0.646187602852441,0.06703649494408102,0.0957322011807431,0.28447153606065356,0.7155284639393464,0.0,0.6403491609062429
slotted_plate_0041__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,slotted_plate_0041,slotted_plate,./benchmark_v1/references_parametric/slotted_plate_0041.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0041__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/slotted_plate_0041__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.3409090909090909,31.239321123236934,False,1.0,0.786,2.315541634340437,1.6648429408277745,6.065425008194528,4.816587180567221,6.955615983837985,1.771822321552664,8.099376970059195,7.793217613973351,7.793217613973351,5.258603038303754,0.6141359672152067,0.030713206198413445,0.20397252778084862,0.6141359672152067,0.6141359672152156,1.743606855647182,0.019664126663180674,0.014598650375734573,1.0,1.0,0.0,0.0,0.0,1.0,0.2829405670648229,0.6666666666666666,5.981341566507558,0.8260993487542903,16.20500213151157,0.20922332541841604,0.009212305611899932,9.713385257658482,0.4134722739114254,0.5674157303370787,0.6038043478260869,0.5850447604002106,0.07680428106718609,0.04997793188482733,0.25285427605821525,0.7471457239417847,0.0,0.5583375063587338
