pair_id,run_id,label,tier,notes,task_mode,provider,model,prompt_level,part_id,family,reference_path,generated_path,reference_mesh_path,generated_mesh_path,fast_mode,sample_points,voxel_pitch_mm,grading_profile,pass_rate,quality_score_0_100,overall_pass,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score
stepped_shaft_0002__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,stepped_shaft_0002,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0002.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0002__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0002__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.8636363636363636,79.05027556161068,False,1.0,1.0,0.7542139995892834,0.6919458080188003,0.13594705759250209,1.2718970931580222,1.5496635331326118,0.6910606680983711,2.3662891836083855,1.5145240461825455e-13,1.5145240461825455e-13,1.1993129246183027e-13,0.02965758208209479,0.01879748743458265,0.02965758208209479,0.01079317741749719,6.028463292719543,0.025467838036990903,0.0005678148024528357,0.00037511748516733914,1.0,1.0,0.0,1.0,1.0,1.0,0.019749415644724877,1.0,0.1359470575925021,0.9764060333964064,4.110541759016647,0.0,0.0769966129086708,0.359779507689201,0.9476510067114094,0.9476510067114094,1.0,0.9731219848380428,0.05496372028486867,0.19074435869179196,0.3961531072253761,0.6038468927746239,0.0,0.9524398494663779
stepped_shaft_0002__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,stepped_shaft_0002,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0002.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0002__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0002__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.4090909090909091,37.0488538094307,False,1.0,0.899,1.5803181827438542,0.9512363550671752,3.43504085221727,2.7669501915012287,5.802145633709187,1.0739639625033652,9.564581609358934,9.46577528864091e-13,9.46577528864091e-13,7.394591354436003,10.017091790865237,0.006713593470202284,0.054328566326447,10.017091790865237,10.051054589484039,0.052994342716117464,0.15925543159052724,0.07981750883700162,0.0,1.0,0.0,0.0,0.0,1.0,3.359377983553962,0.6666666666666666,3.435037784736724,0.8936240200376916,11.332326466638046,0.13230412471885972,0.056830702549916345,0.42005892838984416,0.8613861386138614,0.8721804511278195,0.9858356940509915,0.9255319148936171,0.04796442768680423,0.1463960017517631,0.3707840358747691,0.6292159641252308,0.0,0.7456216421809714
stepped_shaft_0011__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,stepped_shaft_0011,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0011.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0011__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0011__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.8636363636363636,78.96367720258178,False,1.0,0.99925,0.7981408167392391,0.7267957355198712,0.14918422176977456,1.3466590836109762,1.6245508745121482,0.7262277243791899,2.2092054030537973,6.925085753849833e-13,6.925085753849833e-13,4.165005455047045e-13,0.013029032166407717,0.0007154143150458481,0.013029032166407717,0.0018880002822072584,7.6564574784360815,0.015398002892440133,0.0001116661220991493,0.00010471065312273327,1.0,1.0,0.0,1.0,1.0,1.0,0.005210815587886941,1.0,0.14918422176977456,0.9802076937538118,3.9351254924680883,0.0,0.05386538359642873,0.41367534690404306,1.0,1.0,1.0,1.0,0.060372053748905564,0.20863087473364925,0.39641091324265276,0.6035890867573472,0.0,0.9536063613808833
stepped_shaft_0011__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,stepped_shaft_0011,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0011.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0011__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0011__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5681818181818182,49.88904384447038,False,1.0,0.9845,0.9176255286877809,0.8121952235173995,1.3027741607862007,1.547862237913587,5.054769811138714,0.7688261545748433,5.224598366606449,2.1175278418055625,2.1175278418055625,2.8770689460091514,6.991467017418245,0.014005497723829308,0.02970249245026224,6.991467017418245,7.944444165305491,0.9607481440393982,0.11710475013717053,0.06160205990092525,1.0,1.0,0.0,1.0,1.0,1.0,2.345058335864112,0.6666666666666666,1.3027741607862007,0.9629724071190983,5.459708834579921,0.0,0.05538810774960892,0.3970906398783843,0.925764192139738,0.9883449883449883,0.9359823399558499,0.9614512471655329,0.05062132068633177,0.18800112028802432,0.3766747196881912,0.6233252803118088,0.0,0.842950148493023
stepped_shaft_0020__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,stepped_shaft_0020,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0020.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0020__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0020__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.8863636363636364,83.14930255025496,False,1.0,1.0,0.543681716647931,0.5004578010686094,0.1475886134337078,0.9114634765267791,1.1287600006665872,0.49998203439329414,1.5377243008357029,6.384946510435102e-14,6.384946510435102e-14,6.663664625159059e-14,0.0051470624498293205,0.00401989613226128,0.0051470624498293205,0.00126545950499235,0.02220945789317952,0.10898971901573826,0.00013908975251939555,0.0004160918503033893,1.0,1.0,0.0,1.0,1.0,1.0,0.003477472695694317,1.0,0.1475886134337078,0.9863379540376117,4.366230118592972,0.0,0.07251056776535603,0.17113789414445857,0.9770114942528736,0.9976525821596244,0.9792626728110599,0.9883720930232559,0.03726471350103542,0.23049237564216926,0.384902233691081,0.615097766308919,0.0,0.9550321114385849
stepped_shaft_0020__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,stepped_shaft_0020,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0020.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0020__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0020__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,48.14627956894356,False,1.0,0.972,0.757352632940909,0.613559041334836,2.0034060857786633,1.501121729433679,3.2957372831231857,0.5959327617636367,4.259654357498204,3.3068783140868576,3.3068783140868576,1.6116477132660536,2.9968873760030306,0.009606834931531694,0.014805290857765385,2.9968873760030306,4.940340112222302,0.40189230288084077,0.07369566450455933,0.03812570105231478,0.0,1.0,0.0,0.0,0.0,1.0,1.007099833930776,0.6666666666666666,2.0034060857786633,0.9287250123781398,9.472913553554486,0.018797456038247562,0.0493707023250034,0.18148770002705106,0.9376391982182628,0.9655963302752294,0.9700460829493087,0.967816091954023,0.03896441434219402,0.19993456612944913,0.36079071893954046,0.6392092810604595,0.0,0.8102629745049048
stepped_shaft_0029__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,stepped_shaft_0029,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0029.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0029__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0029__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.8636363636363636,81.21650457620262,False,1.0,1.0,0.5798347041586164,0.5322945871738576,0.18836706884951213,0.9663832676347782,1.16495866663365,0.5312927497769762,1.7965702736638944,3.4587066589959776e-13,3.4587066589959776e-13,2.1979575164169326e-13,0.007614931247843515,0.005941314971636302,0.007614931247843515,0.000221103007191914,5.921411018898127,0.0681406218509318,1.914224658971002e-05,0.0002631527252165223,1.0,1.0,0.0,1.0,1.0,1.0,0.00459244974222391,1.0,0.1883673216585407,0.9765983898344169,4.629554049245468,0.0,0.06212251744555899,0.2031246759295984,1.0,1.0,1.0,1.0,0.05688714127757612,0.1937747721042776,0.4436187024471891,0.5563812975528108,0.0,0.9526374851234991
stepped_shaft_0029__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,stepped_shaft_0029,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0029.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0029__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0029__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.18181818181818182,16.615980175406545,False,1.0,0.6885,2.5770664586298087,2.1893037215754467,3.8750279367641554,8.023663770169655,9.42823130191417,1.8005505686895513,7.086539154938335,13.859208013814362,13.859208013814362,11.134610994629615,3.996356361281883,0.00021873966442598203,0.01167051125011298,3.996356361281883,3.9900976606917027,5.957282245361113,0.21198926729509227,0.1281643340970515,0.0,1.0,0.0,0.0,0.0,0.75,1.3360818707321407,0.6666666666666666,5.5083379815563696,0.8153831838378693,18.986941866470183,0.004212595043515073,0.04867622784385857,1.1805626554705206,0.4793261868300153,0.6804347826086956,0.6185770750988142,0.6480331262939958,0.10284180716626874,0.16140391344329313,0.38212184701123514,0.6178781529887649,0.0,0.47058850377445577
stepped_shaft_0038__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,stepped_shaft_0038,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0038.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0038__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0038__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.8636363636363636,80.4429955166966,False,1.0,1.0,0.6794186433257479,0.6220402206034668,0.23400616222536696,1.1271320586633782,1.3574922441442971,0.6216347382861245,1.7445027053396227,7.171059659875051e-14,7.171059659875051e-14,4.280060883581717e-14,0.01861055363310271,0.008068326389828684,0.01861055363310271,0.003877796503530817,4.978736612929829,0.024331071189853573,0.00022513862286121454,0.00021575811405386908,1.0,1.0,0.0,1.0,1.0,1.0,0.010185558842154071,1.0,0.2340070681290837,0.9779180521274647,3.891273814377914,0.0,0.05569710996286178,0.36952448288362755,0.9783616692426584,0.9890625,0.9890625,0.9890625,0.07650415494190242,0.19093954606935157,0.34430821083098917,0.6556917891690108,0.0,0.9524525790779441
stepped_shaft_0038__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,stepped_shaft_0038,stepped_shaft,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/stepped_shaft_0038.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0038__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/stepped_shaft_0038__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.4318181818181818,41.30632289845726,False,1.0,0.976,0.9373334664748775,0.8569427750239018,2.028789095706008,2.6626780516837187,5.778166768093162,0.7294412567693717,5.829942046655839,5.153203358599702,5.153203358599702,6.208746647236588,10.984864256240868,0.008480167598669652,0.04203126578419614,10.984864256240868,10.96484250809381,1.0782895249907227,0.2164809150403436,0.1128135157343699,1.0,1.0,0.0,1.0,1.0,1.0,3.6784585632079114,0.6666666666666666,2.028789095706008,0.9371547322720217,7.514781628870751,0.0,0.04908199370343299,0.3908907568982536,0.8748091603053435,0.9744897959183674,0.8953125,0.9332247557003257,0.07218674974742459,0.16304703381699315,0.31261379106582615,0.6873862089341738,0.0,0.705587335655102
