metric,direction,status,reason,rows_used,positives,negatives,nan_rate,old_threshold,new_threshold,objective_value,precision,recall,f1,specificity,accuracy,balanced,cost,tp,tn,fp,fn
prompt_text,unknown,skipped,unknown_direction,0,0,0,0.000000,,,,,,,,,,,,,,
valid_cad_rate,higher_better,ok,,119,15,104,0.000000,,1,0.5,0.12605042,1,0.223880597,0,0.12605042,0.5,520,15,0,104,0
alignment_quality_icp_fitness,higher_better,ok,,119,15,104,0.000000,,0.7185,0.822115385,0.288461538,1,0.447761194,0.644230769,0.68907563,0.822115385,185,15,67,37,0
alignment_inlier_rmse_mm,lower_better,ok,,119,15,104,0.000000,,1.76515369,0.889423077,0.394736842,1,0.566037736,0.778846154,0.806722689,0.889423077,115,15,81,23,0
chamfer_distance_mm,lower_better,ok,,119,15,104,0.000000,,1.36090496,0.865705128,0.4,0.933333333,0.56,0.798076923,0.81512605,0.865705128,106,14,83,21,1
edge_chamfer_mm,lower_better,ok,,119,15,102,0.016807,,0.864497599,0.995192308,0.9375,1,0.967741935,0.990384615,0.991596639,0.995192308,5,15,103,1,0
hausdorff_95p_mm,lower_better,ok,,119,15,104,0.000000,,2.4768778,0.875320513,0.424242424,0.933333333,0.583333333,0.817307692,0.831932773,0.875320513,96,14,85,19,1
hausdorff_99p_mm,lower_better,ok,,119,15,104,0.000000,,3.62071949,0.913461538,0.454545455,1,0.625,0.826923077,0.848739496,0.913461538,90,15,86,18,0
point_to_surface_mean_mm,lower_better,ok,,119,15,104,0.000000,,1.36134929,0.860897436,0.388888889,0.933333333,0.549019608,0.788461538,0.806722689,0.860897436,111,14,82,22,1
point_to_surface_max_mm,lower_better,ok,,119,15,104,0.000000,,4.08000622,0.875320513,0.424242424,0.933333333,0.583333333,0.817307692,0.831932773,0.875320513,96,14,85,19,1
volume_diff_percent,lower_better,ok,,119,15,104,0.000000,,0.085408311,0.88525641,0.565217391,0.866666667,0.684210526,0.903846154,0.899159664,0.88525641,52,13,94,10,2
signed_volume_diff_percent,lower_better,ok,,119,15,104,0.000000,,0.085408311,0.88525641,0.565217391,0.866666667,0.684210526,0.903846154,0.899159664,0.88525641,52,13,94,10,2
surface_area_diff_percent,lower_better,ok,,119,15,104,0.000000,,0.018301234,0.918910256,0.8125,0.866666667,0.838709677,0.971153846,0.957983193,0.918910256,17,13,101,3,2
bbox_error_max_mm,lower_better,ok,,119,15,104,0.000000,,0.528451892,0.774038462,0.241935484,1,0.38961039,0.548076923,0.605042017,0.774038462,235,15,57,47,0
bbox_error_axis_x_mm,lower_better,ok,,119,15,104,0.000000,,0.126252007,0.693910256,0.256410256,0.666666667,0.37037037,0.721153846,0.714285714,0.693910256,150,10,75,29,5
bbox_error_axis_y_mm,lower_better,ok,,119,15,104,0.000000,,0.144078732,0.751282051,0.314285714,0.733333333,0.44,0.769230769,0.764705882,0.751282051,124,11,80,24,4
bbox_error_axis_z_mm,lower_better,ok,,119,15,104,0.000000,,0.336538948,0.764423077,0.234375,1,0.379746835,0.528846154,0.588235294,0.764423077,245,15,55,49,0
obb_error_max_mm,lower_better,ok,,119,15,104,0.000000,,0.545742253,0.750961538,0.279069767,0.8,0.413793103,0.701923077,0.714285714,0.750961538,158,12,73,31,3
centroid_offset_mm,lower_better,ok,,119,15,104,0.000000,,0.070572014,0.870833333,0.5,0.866666667,0.634146341,0.875,0.87394958,0.870833333,67,13,91,13,2
inertia_tensor_error,lower_better,ok,,119,15,104,0.000000,,0.002230022,0.899679487,0.65,0.866666667,0.742857143,0.932692308,0.924369748,0.899679487,37,13,97,7,2
mass_properties_error,lower_better,ok,,119,15,104,0.000000,,0.001458702,0.966346154,0.681818182,1,0.810810811,0.932692308,0.941176471,0.966346154,35,15,97,7,0
component_count_match,higher_better,ok,,119,15,104,0.000000,,1,0.697115385,0.192307692,1,0.322580645,0.394230769,0.470588235,0.697115385,315,15,41,63,0
watertight_manifold_pass,higher_better,ok,,119,15,104,0.000000,,1,0.591346154,0.15,1,0.260869565,0.182692308,0.285714286,0.591346154,425,15,19,85,0
self_intersection_count,lower_better,ok,,119,15,104,0.000000,,0,0.5,0.12605042,1,0.223880597,0,0.12605042,0.5,520,15,0,104,0
euler_genus_match,higher_better,ok,,119,15,104,0.000000,,1,0.860576923,0.340909091,1,0.508474576,0.721153846,0.756302521,0.860576923,145,15,75,29,0
void_hole_count_match,higher_better,ok,,119,15,104,0.000000,,1,0.860576923,0.340909091,1,0.508474576,0.721153846,0.756302521,0.860576923,145,15,75,29,0
